,uid,history,prob
14939,flyhony,"且听凤鸣High, 霍家拳之铁臂娇娃Low, 河神2High, 锦绣南歌High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.968245836551854
14940,flfwolf,"且听凤鸣High, 忘不了餐厅第二季High, 霍家拳之铁臂娇娃High, 锦绣南歌High, 河神2High, 哪吒降妖记High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.9095085938862486
14941,3168425,"且听凤鸣High, 忘不了餐厅第二季High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 河神2High, 哪吒降妖记High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.9095085938862486
14942,152113107,"且听凤鸣High, 忘不了餐厅第二季High, 霍家拳之铁臂娇娃Low, 锦绣南歌High, 河神2High, 哪吒降妖记High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.9411764705882353
14943,2515480,"且听凤鸣High, 霍家拳之铁臂娇娃Medium, 忘不了餐厅第二季High, 锦绣南歌High, 河神2High, 哪吒降妖记High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.9718253158075503
14944,12966073,"且听凤鸣High, 花样实习生High, 霍家拳之铁臂娇娃Medium, 忘不了餐厅第二季High, 锦绣南歌High, 哪吒降妖记High, 河神2High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",1.0000000000000002
14945,48372990,"且听凤鸣High, 花样实习生High, 忘不了餐厅第二季High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 河神2High, 哪吒降妖记High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",1.0000000000000002
14946,51904800,"且听凤鸣High, 霍家拳之铁臂娇娃Low, 锦绣南歌High, 河神2High, 哪吒降妖记High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh, 将夜2High",0.8685990362153793
14947,74451484,"且听凤鸣High, 霍家拳之铁臂娇娃High, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 小妇人LittleWomenHigh, 将夜2High",0.8685990362153793
14948,3184837,"且听凤鸣High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 河神2High, 哪吒降妖记High, 少年之名High, 对白第三季High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh, 将夜2High",0.968245836551854
14949,45297805,"且听凤鸣High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 哪吒降妖记High, 河神2High, 少年之名High, 对白第三季High, 清平乐High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh, 将夜2High",0.968245836551854
14950,1697622,"风味原产地甘肃High, 且听凤鸣High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 西行纪之再见悟空High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 小妇人LittleWomenHigh, 将夜2High",0.9411764705882353
14951,39292781,"且听凤鸣High, 风味原产地甘肃High, 霍家拳之铁臂娇娃Low, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 西行纪之再见悟空High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 小妇人LittleWomenHigh, 将夜2High",0.9411764705882353
14952,4322401,"且听凤鸣High, 忘不了餐厅第二季High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 河神2High, 哪吒降妖记High, 少年之名High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh, 将夜2High",0.9411764705882353
14953,51904701,"且听凤鸣High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 河神2High, 哪吒降妖记High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh, 将夜2High",0.9411764705882353
14954,44744628,"锦绣南歌High, 99分女朋友High, 河神2High, 霍家拳之铁臂娇娃High, 少年之名High, 民初奇人传High, 我才不要和你做朋友呢High, 对白第三季High, 汪喵物语High, 西行纪之再见悟空High, 欢乐喜剧人第六季High, 热血同行High, 绝地战警疾速追击BadBoysforLifeHigh, 小妇人LittleWomenHigh",0.8970852271450606
14955,41395154,"时代我High, 99分女朋友High, 锦绣南歌High, 河神2High, 霍家拳之铁臂娇娃High, 少年之名High, 民初奇人传High, 我才不要和你做朋友呢High, 对白第三季High, 一九五八炮击金门High, 西行纪之再见悟空High, 欢乐喜剧人第六季High, 热血同行High, 绝地战警疾速追击BadBoysforLifeHigh, 小妇人LittleWomenHigh",0.966091783079296
14956,53231779,"时代我High, 锦绣南歌High, 99分女朋友High, 河神2High, 霍家拳之铁臂娇娃High, 少年之名High, 民初奇人传High, 我才不要和你做朋友呢High, 对白第三季High, 西行纪之再见悟空High, 欢乐喜剧人第六季High, 热血同行High, 绝地战警疾速追击BadBoysforLifeHigh, 小妇人LittleWomenHigh",0.966091783079296
14957,46646426,"时代我High, 99分女朋友High, 霍家拳之铁臂娇娃High, 锦绣南歌High, 少年之名High, 民初奇人传High, 我才不要和你做朋友呢High, 对白第三季High, 西行纪之再见悟空High, 热血同行High, 绝地战警疾速追击BadBoysforLifeHigh, 小妇人LittleWomenHigh",0.9258200997725516
14958,51978481,"锦绣南歌High, 99分女朋友High, 哪吒降妖记High, 霍家拳之铁臂娇娃High, 民初奇人传High, 我才不要和你做朋友呢High, 对白第三季High, 汪喵物语High, 西行纪之再见悟空High, 欢乐喜剧人第六季High, 热血同行High, 绝地战警疾速追击BadBoysforLifeHigh, 小妇人LittleWomenHigh",0.8006407690254358
14959,81207837,"青春环游记第二季High, 凡人修仙传High, 重启之极海听雷High, 时代我High, 99分女朋友High, 河神2High, 霍家拳之铁臂娇娃Medium, 少年之名High, 民初奇人传High, 我才不要和你做朋友呢High, 西行纪之再见悟空High, 热血同行High, 绝地战警疾速追击BadBoysforLifeHigh, 小妇人LittleWomenHigh",0.8970852271450606
14960,48061106,"重启之极海听雷High, 凡人修仙传High, 时代我High, 99分女朋友High, 河神2High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 少年之名High, 民初奇人传High, 我才不要和你做朋友呢High, 对白第三季High, 西行纪之再见悟空High, 热血同行High, 绝地战警疾速追击BadBoysforLifeHigh, 小妇人LittleWomenHigh",0.9309493362512627
14961,4382873,"重启之极海听雷High, 凡人修仙传High, 时代我High, 99分女朋友High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 民初奇人传High, 我才不要和你做朋友呢High, 对白第三季High, 西行纪之再见悟空High, 热血同行High, 绝地战警疾速追击BadBoysforLifeHigh, 小妇人LittleWomenHigh",0.9636241116594316
